Region,CO2 Emissions,Ease of Business,Energy Usage,GDP,Internet Usage,Population Total
Oceania,1291,58,524,4035420973,0.337,874742
Europe,54646,12,34263,1.96E+11,0.745,5246096
Europe,66197,12,37334,2.08E+11,0.797,5266268
Europe,63982,12,36803,2.46E+11,0.808,5288720
Europe,56593,12,35284,2.72E+11,0.837,5313399
Europe,53168,12,33259,2.39E+11,0.825,5338871
Europe,61844,12,36429,2.37E+11,0.869,5363352
Europe,61844,12,34749,2.62E+11,0.887,5388272
Europe,61844,12,33475,2.47E+11,0.899,5413971
Europe,392072,35,270660,2.14E+12,0.429,63176246
Europe,382582,35,266793,2.26E+12,0.469,63617975
Europe,375882,35,263542,2.58E+12,0.661,64012572
Europe,372564,35,264803,2.83E+12,0.707,64371099
Europe,356924,35,253469,2.62E+12,0.716,64702921
Europe,361273,35,261157,2.57E+12,0.773,65023142
Europe,361273,35,252827,2.78E+12,0.778,65343588
Europe,361273,35,251706,2.61E+12,0.814,65676758
Africa,323,148,108,624173996,0.038,1436549
Africa,337,148,114,655068112,0.052,1482324
Africa,396,148,133,798869805,0.062,1529406
Africa,411,148,133,965771303,0.069,1577984
Africa,436,148,133,900629373,0.076,1628332
Africa,473,148,133,951805801,0.092,1680640
Africa,473,148,133,898282866,0.109,1734966
Africa,473,148,133,914109100,0.124,1791225
Asia,5068,9,2841,6411147323,0.061,4361400
Asia,6150,9,3032,7761900179,0.075,4398000
Asia,6190,9,3341,10172260738,0.083,4388400
Asia,6238,9,3005,12799337250,0.1,4383800
