Latitude,Longitude,DepthMeters,Magnitude
38.0742,-81.6732,4800,2.5
41.466,-77.3652,8000,2.5
38.062,-81.6877,7700,2.7
37.9142,-81.6356,32300,2.8
37.7638,-82.0907,2700,2.4
42.9685,-75.1439,4200,2.7
40.078,-76.963,5000,2.1
40.092,-76.974,4000,1.8
40.1,-77.009,5000,1.7
40.09,-76.984,5000,1.5
40.068,-76.962,5000,1.2
40.114,-76.403,4000,3.4
38.467,-80.5489,8100,2.1
37.9097,-81.3554,3600,2.4
41.4341,-77.3931,2000,2.7
37.892,-81.5745,11400,2.8
37.3032,-82.0687,1200,2.5
38.0504,-81.3716,13200,2.6
37.8643,-81.8862,12000,2.1
40.6085,-79.0926,7400,2.4
37.1885,-81.5805,3400,2.5
41.4594,-77.36,12200,2.4
41.4546,-77.3646,5700,2.1
41.4676,-77.3785,8500,2.5
38.0838,-81.4127,4800,2.3
43.3595,-73.5804,13400,1.7
44.2762,-73.6392,14800,1.6
38.0122,-81.4459,8900,2.5
42.9158,-74.1278,6400,1.9
41.1043,-78.3813,14900,2.2
42.5149,-73.86,14100,2.1
38.0716,-81.6919,9800,2.4
41.463,-77.3595,12000,2.4
37.8452,-81.7205,3500,2.2
38.0254,-81.4719,13400,2.1
40.8008,-78.4617,10000,2.3
42.4962,-73.8838,12000,2
42.6456,-74.3447,19500,2.3
41.4714,-77.3644,11200,2.3
43.0173,-75.7126,18000,2.4
40.164,-80.9552,7900,2.6
39.5852,-78.9009,14200,2.3
38.0612,-81.489,20400,2.4
41.4487,-77.4066,10900,2.3
38.1437,-81.8925,6700,2.3
44.0969,-75.4061,9400,1.5
41.4655,-77.3796,8700,2.4
40.083,-74.989,4200,1.7
38.1187,-80.428,2800,2.6
38.1389,-80.4718,4700,2.3
42.4957,-73.8537,14200,2.2
43.4364,-73.4907,13000,1.7
41.4543,-77.3744,8800,2.6
43.7858,-76.1696,10100,2
42.5196,-73.8821,13100,2
42.9547,-75.4589,7700,2.1
42.928,-74.1086,7200,2
